name,location__city,location__coordinates,categories__001,bio__summary,bio__birthdate,bio__deathdate
Coolio,Los Angeles,"-118.211126, 33.874362",rapper,"Artis Leon Ivey Jr. (born August 1, 1963), known professionally as Coolio, is an American rapper, chef, actor, and record producer.",8/1/63,null
Warren G,Los Angeles,"-118.143048, 33.800424",producer / dj,"Warren Griffin III (born November 10, 1970)[1] better known by his stage name Warren G, is an American West Coast rapper and hip hop producer.",11/10/70,null
Nate Dogg,Los Angeles,"-118.145006, 33.782685",rapper,"Nathaniel Dwayne Hale (August 19, 1969 – March 15, 2011), better known by his stage name Nate Dogg, was an American rapper, singer. He was known as one of the pioneers of West Coast hip hop. ",8/19/69,3/15/11
The Game,Los Angeles,"-118.227222, 33.891111",rapper,"Jayceon Terrell Taylor (born November 29, 1979), better known by his stage name The Game (or simply Game), is an American rapper from Los Angeles.",11/29/79,null
Ice-T,Los Angeles,"-118.329661, 33.996677",rapper,"Tracy Lauren Marrow (born February 16, 1958) better known by his stage name Ice-T, is an American rapper and actor. He began his career as a rapper in the 1980s.",2/16/58,null
IshDARR,Milwaukee,"-87.92027, 43.089722",rapper,"Ishmael Ali, born in 1996, better known by his stage name Ish DARR is an American Hip Hop artist and performer from Milwaukee.",null,null
The Dope Poet Society,Toronto,"-79.544233, 43.658573",group,"The Dope Poet Society is a hip hop group from Toronto, Ontario, Canada. Their music is characterized by clever and sometimes controversial lyrics. ProfessorD.us (formerly Professor D) is the lead vocalist of the group, known for his tongue twisting, “rapid fire” rap style.",null,null
Immortal Technique,New York,"-73.952751, 40.786914",rapper,"Felipe Andres Coronel (born February 19, 1978), better known by the stage name Immortal Technique, is an American rapper and urban activist. Most of his lyrics focus on controversial issues in global politics.",2/19/78,null
Chance the Rapper,Chicago,"-87.628899, 41.744289",producer / dj,"Chancelor Johnathan Bennett (born April 16, 1993), known professionally as Chance the Rapper, is an American hip hop recording artist from the West Chatham neighborhood of Chicago, Illinois.",4/16/93,null
The St. Lunatics,St. Louis,"-90.226303, 38.606350",group,"The St. Lunatics are a hip hop group from St. Louis Missouri, United States, formed in 1993. The group consists of Nelly, Ali, Murphy Lee, Kyjuan, and City Spud.",null,null
Nelly,St. Louis,"-90.225617, 38.636928",rapper,"Cornell Iral Haynes, Jr. (born November 2, 1974), known professionally as Nelly, is an American rapper, singer, songwriter, entrepreneur, investor, and occasional actor from St. Louis, Missouri.",11/2/74,null
Bone Thugs-N-Harmony,Cleveland,"-81.658483, 41.485406",group,"Bone Thugs-N-Harmony is an American hip hop group from Cleveland, Ohio. It consists of rappers Bizzy Bone, Wish Bone, Layzie Bone, Krayzie Bone & Flesh-N-Bone.",null,null
Evil Pimp,Cedar Rapids,"-91.558652, 41.957204",producer / dj,"Evil Pimp (born Catrin Terrell Rhodes) is an American recording rap artist from Cedar Rapids. Know for is Memphis rap style, he is the the founder of the group Krucifix Klan.",null,null
Yo Gotti,Memphis,"-90.003333, 35.2175",rapper,"Mario Mims (born May 19, 1981), better known by his stage name Yo Gotti, is an American rapper from Memphis.",5/19/81,null
Koopsta Knicca,Memphis,"-90.035626, 35.140560",rapper,"Robert Cooper Phillips (April 27, 1975 – October 9, 2015), better known by his stage name Koopsta Knicca, was an American rapper. He was best known as one of the members of the Memphis rap group Three 6 Mafia.",4/27/75,10/9/15
Xzibit,Detroit,"-83.023499, 42.352718",rapper,"Alvin Nathaniel Joiner (born September 18, 1974), better known by his alias Xzibit (pronounced ""exhibit""), is an American rapper, actor, television host, radio personality and record producer.",9/18/74,null
J Dilla,Detroit,"-83.070953, 42.425793",producer / dj,"James Dewitt Yancey, better known by the stage names J Dilla and Jay Dee, was an American record producer and rapper who emerged from the mid-1990s underground hip hop scene in Detroit.",2/7/74,2/10/06
Joey bada$$,Brooklyn,"-73.944444, 40.688889",rapper,"Jo-Vaughn Virginie Scott (born January 20, 1995), better known by his stage name Joey Badass (stylized as Joey Bada$$), is an American hip hop recording artist and actor.",1/20/95,null
Mick Jenkins,Chicago,"-87.6092301, 41.7293151",rapper,"Jayson Mick Jenkins (born April 16, 1991), better known as Mick Jenkins, is an American hip hop recording artist signed to Cinematic Music Group.",4/16/91,null
Pusha T,Virginia Beach,"-75.9921208, 36.8853221",rapper,"Terrence LeVarr Thornton (born May 13, 1977), better known by his stage name Pusha T, is an American hip hop recording artist.",5/13/77,null
Schoolboy Q,Los Angeles,"-118.284811, 33.996673",rapper,"Quincy Matthew Hanley (born October 26, 1986), better known by his stage name Schoolboy Q (often stylized ScHoolboy Q), is an American hip hop recording artist from South Central Los Angeles, California.",10/26/86,null
Lauryn Hill,South Orange,"-74.265698, 40.735581",rapper,"Lauryn Noelle Hill (born May 26, 1975) is an American singer, songwriter, rapper, record producer, and actress. She is best known for being a member of the Fugees.",5/26/75,null
Jadakiss,New York,"-73.889011, 40.950239",rapper,"Jason Phillips (born May 27, 1975), better known as Jadakiss, is an American rapper. He is a member of the group The LOX and the hip hop collective Ruff Ryders.",5/27/75,null
Missy Elliott,Portsmouth,"-76.381403, 36.815125",rapper,"Melissa Arnette ""Missy"" Elliott (born July 1, 1971), often known professionally as Missy ""Misdemeanor"" Elliott, is an American rapper, dancer, and record producer.",7/1/71,null
Beastie Boys,New York," -73.995674, 40.741088",group,"The Beastie Boys were an American hip hop group from New York City formed in 1981. The group comprised Michael ""Mike D"" Diamond (vocals, drums), Adam ""MCA"" Yauch (vocals, bass) and Adam ""Ad-Rock"" Horovitz (vocals, guitar).",null,null
Mobb Deep,Queens,"-73.946940, 40.754335",group,Mobb Deep is an American hip hop duo from the Queensbridge Houses in New York City. The group consists of Havoc (born Kejuan Muchita) and Prodigy (born Albert Johnson) .,null,null
Busta Rhymes,New York," -73.591274, 40.695383",rapper,"Trevor George Smith, Jr., (born May 20, 1972) better known by his stage name Busta Rhymes, is an American rapper, actor, record producer and record executive.",5/20/72,null
Queen Latifah,East Orange,"-74.213075, 40.765586",rapper,"Dana Elaine Owens (born March 18, 1970), known professionally by her stage name Queen Latifah, is an American rapper, songwriter, singer.",3/18/70,null
Nicki Minaj,New York,"-73.791237, 40.674942",rapper,"Onika Tanya Maraj (born December 8, 1982), known professionally as Nicki Minaj, is a Trinidadian-born American rapper, singer, and songwriter.",12/8/82,null
Kendrick Lamar,Los Angeles,"-118.251462, 33.907122",rapper,"Kendrick Lamar Duckworth (born June 17, 1987) is an American rapper and songwriter from Compton Los Angeles.",6/17/87,null
Kanye West,Chicago,"-87.769401, 41.698532",producer / dj,"Kanye Omari West (born June 8, 1977) is an American rapper, songwriter, record producer, fashion designer, and entrepreneur. Born in Atlanta and raised in Chicago.",6/8/77,null
Eminem,Detroit,"-83.000062, 42.442723",rapper,"Marshall Bruce Mathers III (born October 17, 1972), known professionally as Eminem (often stylized as EMINƎM), is an American rapper, record producer, and actor.",10/17/72,null
Snoop Dogg,Long beach,"-118.173652, 33.784440",rapper,"Cordozar Calvin Broadus, Jr. (born October 20, 1971), known professionally as Snoop Dogg (formerly called Snoop Doggy Dogg and Snoop Lion), is an American rapper and actor from Long Beach, California.",10/20/71,null
Q-Tip,St Albans,"-73.774743, 40.692396",rapper,"Kamaal Ibn John Fareed (born Jonathan William Davis on April 10, 1970), better known by his stage name Q-Tip, is an American rapper, singer, actor, record producer and DJ. He embarked on his music career as part of the East Coast hip hop group A Tribe Called Quest.",4/10/70,null
Big Daddy Kane,Brooklyn,"-73.946079, 40.686695",rapper,"Antonio Hardy (born September 10, 1968), better known by his stage name Big Daddy Kane, is a Grammy Award-winning American rapper and actor who started his career in 1986 as a member of the rap collective the Juice Crew.",10/10/68,null
Slick Rick,New York,"-73.917884, 40.813457",rapper,"Richard Martin Lloyd Walters (born January 14, 1965; better known as Slick Rick, Rick The Ruler and Ricky Dee) is a British-born American rapper. ",1/14/65,null
Rakim,New York,"-73.3655864, 40.7251749",rapper,"William Michael Griffin (born January 28, 1968), better known by his stage name Rakim, is an American rapper. One half of golden age hip hop duo Eric B. & Rakim.",1/28/68,null
LL Cool J,Hollis,"-73.764675, 40.709236",rapper,"James Todd Smith (born January 14, 1968), known professionally as LL Cool J (short for Ladies Love Cool James), is an American rapper, actor, author, and entrepreneur from Queens, New York.",1/14/68,null
Grandmaster Caz,New York,"-73.927452, 40.834026",producer / dj,"Curtis Fisher (born April 18, 1961), better known by his stage name Grandmaster Caz, is an American rapper, songwriter and DJ.",4/18/61,null
A Tribe Called Quest,New York,"-73.7624, 40.6916",group,"A Tribe Called Quest is an American hip-hop group formed in 1985 and originally composed of MC and producer Q-Tip, the late MC Phife Dawg and DJ and producer Ali Shaheed Muhammad.",null,null
Kurtis Blow,New York,"-73.941330, 40.815730",rapper,"Kurt Walker (born August 9, 1959), professionally known by his stage name Kurtis Blow, is an American rapper and record producer.",8/9/59,null
The Sugarhill Gang,Englewood,"-73.976025, 40.892040",group,"The Sugarhill Gang is an American hip hop group, known mostly for its 1979 hit ""Rapper's Delight,"" the first rap single to become a Top 40 hit on the Billboard Hot 100.",null,null
Afrika Bambaataa,Bronx,"-73.876652, 40.835033",producer / dj,"frika Bambaataa (born April 17, 1957) is an American disc jockey from the South Bronx, New York. He is notable for releasing a series of genre-defining electro tracks in the 1980s that influenced the development of hip hop culture.",4/17/57,null
Grandmaster Flash,New York,"-73.9074, 40.8103",rapper,"Joseph Saddler (born January 1, 1958), better known as Grandmaster Flash, is a Bajan-American hip hop recording artist and DJ. He is considered to be one of the pioneers of hip-hop DJing, cutting, and mixing. ",1/1/58,null
DJ Kool Herc,New York,"-73.924342, 40.847078",producer / dj,"Clive Campbell (born 16 April 1955), better known by his stage name DJ Kool Herc, is a Jamaican-American DJ who is credited with originating hip hop music in the early 1970s in The Bronx, New York City. ",4/16/55,null
Jean Grae,New York,"-73.996943, 40.744391",rapper,"Jean Grae (born Tsidi Ibrahim, November 26, 1976), formerly known as What? What?, is an American hip hop recording artist from Brooklyn, New York City.",11/26/76,null
DMX,Yonkers,"-73.894868, 40.929818",rapper,"Earl Simmons (born December 18, 1970), professionally known as DMX, is an American rapper, record producer, and actor.",6/18/70,null
Run–D.M.C.,Queens,"-73.753115, 40.706475",group,"Run–D.M.C. was an American hip hop group from Hollis, Queens, New York, founded in 1981 by Joseph Simmons, Darryl McDaniels, and Jason Mizell.",null,null
Omnikrom,Montréal,"-73.749948, 45.484446",group,"Omnikrom is a Canadian rap, crunk, and electro group formed in Montréal.",null,null
Ghislain Poirier,Montreal,"-73.618425, 45.504921",producer / dj,"Ghislain Poirier, often known simply as Poirier, is a DJ/producer from Montreal who is signed to the Ninja Tune record label.",null,null
Tory Lanez,Toronto,"-79.378138, 43.666488",rapper,"Daystar Peterson (born July 27, 1992), better known by his stage name Tory Lanez, is a Canadian hip hop recording artist.",7/27/92,null
Professor Griff,Long Island,"-73.571204, 40.667770",rapper,"Richard Griffin (born August 1, 1960), better known by his stage name Professor Griff, is an American rapper, spoken word artist, and lecturer. He is a member of the hip hop group Public Enemy and head of the group Security of the First World.",8/1/60,null
Flavor Flav,Long Island,"-73.595076, 40.674075",rapper,"William Jonathan Drayton Jr. (born March 16, 1959), better known by his stage name Flavor Flav, is an American musician, rapper, actor, television personality, and comedian who rose to prominence as a member of the hip-hop group Public Enemy.",3/16/59,null
Chuck D,Long Island,"-73.582796, 40.682377",rapper,"Carlton Douglas Ridenhour (born August 1, 1960), known professionally as Chuck D, is an American rapper, author, and producer member of the rap group Public Enemy.",8/1/60,null
Public Enemy ,Long Island,"-73.651272, 40.721565",group,"Public Enemy is an American hip hop group consisting of Chuck D, Flavor Flav, Professor Griff, Khari Wynn, DJ Lord, and the S1W group from Long Island.",null,null
Wu-Tang Clan,New York,"-74.094637, 40.614784",group,"Wu-Tang Clan is an American hip hop group from New York City, originally composed of East Coast rappers RZA, GZA, Ol' Dirty Bastard, Method Man, Raekwon, Ghostface Killah, Inspectah Deck, U-God and Masta Killa.",null,null
KRS-One,Bronx,"-73.916222, 40.819778",rapper,"Lawrence Parker (born August 20, 1965), better known by his stage names KRS-One, and Teacha, is an American rapper and occasional producer from The Bronx, New York City, New York.",8/20/65,null
50 Cent,Queens,"-73.774590, 40.668703",rapper,"Curtis James Jackson III (born July 6, 1975), known professionally as 50 Cent, is an American rapper, actor, businessman, and investor.",7/6/75,null
Max B,New York,"-73.946897, 40.805873",rapper,"Charly Wingate (born May 21, 1978), better known by his stage name Max B, is an American hip hop recording artist from Harlem, New York. In mid 2009, he was sentenced to 75 years in prison on conspiracy charges pertaining to armed robbery, kidnapping, aggravated assault and felony murder.",5/21/78,null
Masta Killa,Brooklyn,"-73.884644, 40.663512",rapper,"Jamel Irief (born Elgin Turner; August 18, 1969), better known by his stage name Masta Killa, is an American rapper and member of the Wu-Tang Clan.",8/18/69,null
U-God,Brooklyn,"-73.907668, 40.665087",rapper,"Lamont Jody Hawkins (born October 11, 1970), better known as U-God (short for Universal God), is an American rapper and member of the hip hop collective, Wu-Tang Clan.",10/11/70,null
Inspectah Deck,Staten Island," -74.070152, 40.612005",rapper,"Jason Hunter better known by his stage name Inspectah Deck, is an American rapper, producer, and member of the groups Wu-Tang Clan and Czarface.",7/6/70,null
Ghostface Killah,Stapleton,"-74.077778, 40.626667",rapper,"Dennis Coles (born May 9, 1970) better known by his stage name Ghostface Killah, is an American rapper and prominent member of the Wu-Tang Clan.",5/9/70,null
GZA,New York,"-74.013940, 40.641897",rapper,"Gary Grice (born August 22, 1966), better known by his stage names GZA and The Genius, is an American rapper and songwriter.",8/22/66,null
RZA,New York,"-74.006393, 40.626700",rapper,"Robert Fitzgerald Diggs, better known by his stage name RZA, is an American rapper, record producer, musician, actor, filmmaker and author.",7/5/69,null
Raekwon,Staten Island,"-74.0775, 40.620278",rapper,"Corey Quontrell Woods (born January 12, 1970), better known by the stage name Raekwon, is an American rapper and a member of the Wu-Tang Clan.",1/12/70,null
Ol' Dirty Bastard,New York,"-73.970845, 40.683065",rapper,"Russell Tyrone Jones better known under his stage name Ol' Dirty Bastard (or ODB), was an American rapper and producer. He was one of the founding members of the Wu-Tang Clan.",11/15/68,11/13/04
UGK,Port Arthur,"-93.9479217, 29.8839586",group,"UGK (short for Underground Kingz) was an American hip hop duo from Port Arthur, Texas, formed in 1987, by the late Chad ""Pimp C"" Butler and Bernard ""Bun B"" Freeman.",null,null
Bun B,Port Arthur,"-93.9676072, 29.8467404",rapper,"Bernard Freeman (born March 19, 1973) known by his stage name Bun B, is an American rapper and was one half of the southern rap duo UGK (UnderGround Kingz).",3/19/73,null
Pimp C,Port Arthur,"-93.9303966, 29.8627186",rapper,"Chad Lamont Butler, better known by his stage name Pimp C, was an American hip hop recording artist and producer. He was best known for his work with Bun B as a founding member of the Underground Kingz (UGK).",12/29/73,12/4/07
Meek Mill,Philadelphia,"-75.1320267, 39.9775341",rapper,"Robert Rihmeek Williams (born May 6, 1987), better known by his stage name Meek Mill, is an American hip hop recording artist. Raised in Philadelphia.",5/6/87,null
Roi Heenok,Montreal,"-73.461111, 45.435",rapper,"Henoc Beauséjour (born November 18, 1973) known by his stage name Roi Heenok is a Canadian rapper, producer and entrepreneur of Haitian descent from Montreal, Canada.",11/18/73,null
Lil B,Berkeley,"-122.292421, 37.89589",rapper,"Brandon Christopher McCartney (born August 17, 1989), professionally known as Lil B and as The BasedGod, is an American rapper from Berkeley, California.",8/17/89,null
Chris Travis,Memphis,"-89.967810, 35.108774",rapper,"Chris Travis (born December 2, 1993) is an American hip hop recording artist, from Memphis, Tennessee. He is best known for being the originator of the ""WaterBoyz"" lifestyle/movement.",12/2/93,null
Demi Portion,Sète,"3.6610923, 43.4134249",rapper,"Rachid Daif know has Demi-Portion, is a French rapper from Sète.",9/15/83,null
Lil Boosie,Baton Rouge,"-91.190339, 30.422383",rapper,"Torrence Hatch (born November 14, 1982), known professionally as Boosie Badazz (formerly known as Lil Boosie), is an American rapper from Baton Rouge, Louisiana.",11/14/82,null
Kodak Black,Pompano Beach,"-80.1460351, 26.244499",rapper,"Dieuson Octave (born June 11, 1997), better known by his stage name Kodak Black, is an American hip hop recording artist.",6/11/97,null
Denzel curry,Miami,"-80.2573833, 25.9413812",rapper,"Denzel Rae Don Curry (born February 16, 1995) is an American hip hop recording artist from Carol City, Florida.",2/16/95,null
Gunplay ,Miami,"-80.289421, 25.927072",rapper,"Richard Morales, Jr. (born July 18, 1979), better known by his stage name Gunplay, is an American hip hop recording artist from Carol City, Florida.",7/18/79,null
Trick Daddy,Miami,"-80.22, 25.836111",rapper,"Maurice Young (born September 27, 1974), better known by his stage name Trick Daddy, is an American rapper, actor, and producer from Miami's Liberty City.",9/27/74,null
Rick Ross,Miami,"-80.207326, 25.897749",rapper,"William Leonard Roberts II (born January 28, 1976), known professionally by his stage name Rick Ross, is an American rapper and entrepreneur.",1/28/76,null
Mac Dre,Vallejo,"-122.2386108, 38.1468556",rapper,"Andre Louis Hicks (July 5, 1970 – November 1, 2004), better known by his stage name Mac Dre, was an American rapper and record producer. On November 1, 2004, Mac Dre was fatally shot and killed by an unknown assailant after a performance in Kansas City, Missouri.",7/5/70,11/1/04
E-40,Vallejo,"-122.2235957, 38.0806752",rapper,"Earl Stevens (born November 15, 1967) better known by his stage name E-40, is an American rapper, entrepreneur, and investor from Vallejo, California. ",11/15/67,null
MC Hammer,Oakland,"-122.1853557, 37.7433152",rapper,"Stanley Kirk Burrell (born March 30, 1962), better known by his stage name M.C. Hammer, is an American hip hop recording artist, dancer, record producer.",null,null
Del the Funky Homosapien,Oakland,"-122.1618747, 37.7980038",rapper,"Teren Delvon Jones (born August 12, 1972), better known as Del the Funky Homosapien or Sir DZL, is an American underground hip hop MC.",8/12/72,null
Too $hort,Oakland,"-122.209036, 37.773514",rapper,"Todd Anthony Shaw (born April 28, 1966), better known by the stage name Too Short (stylized as Too $hort), is an American rapper, producer, and actor.",4/28/66,null
The Coup,Oakland,"-122.2718327, 37.8026292",group,"The Coup is an American hip hop band from Oakland, California. Their music is an amalgamation of influences, including funk, punk, hip hop, and soul.",null,null
Damso,Bruxelles,"4.3508639, 50.8353541",rapper,"William Kalubi (born 10 May 1992 in Kinshasa), better known by his stage name Damso, is a Belgian-Congolese rapper, singer, and songwriter.",5/10/92,null
Negatif clan,Bruxelles,"4.351675, 50.8620201",group,"Negatif Clan was a Belgian rap band, based in Bruxelles, known for their hardcore style. ",null,null
Shurik'n,Miramas,"5.001944, 43.582222",rapper,"Geoffroy Mussard (born in 1966), known by his stage name Shurik'n Chang-Ti, is a French hip hop recording artist from Marseille.",3/11/66,null
Akhenaton,Marseille,"5.4463259, 43.3641924",rapper,"Philippe Fragione, better known by his stage name Akhenaton (born 17 September 1968, Marseille), is a French rapper and producer of French hip hop. ",9/17/68,null
Gangsta Boo,Memphis,"-89.9198745, 35.0616103",rapper,"Gangsta Boo, also known as Lady Boo (born August 7, 1979) is an American rapper. She was the first and only female member of the Memphis, Tennessee-based rap group Three 6 Mafia.",8/7/79,null
Juicy J,Memphis,"-89.9752, 35.1754",rapper,"Jordan Michael Houston (born April 5, 1975), better known by his stage name Juicy J, is an American rapper, songwriter and record producer, member of the Three Six Mafia, from Memphis, Tennessee.",4/5/75,null
DJ Paul,Memphis,"-90.0488417, 35.1394404",rapper,"Paul Duane Beauregard, (born January 12, 1975) better known by his stage name DJ Paul, is an American rapper, record producer, DJ, songwriter and entrepreneur, member of the Three Six Mafia, from Memphis, Tennessee.",1/12/77,null
Drake,Toronto,"-79.4237412, 43.6966656",rapper,"Aubrey Drake Graham (born October 24, 1986), known simply as Drake, is a Canadian rapper, singer, songwriter, record producer, and actor.",10/24/86,null
Lino,Villiers-le-Bel,"2.3833,49",rapper,Gaëlino M'Bani better known by his stage name Lino is a French rapper. He was a member of the French rap duo Ärsenik with his brother Calboni M'Bani known as Calbo in the duo.,5/23/74,null
Doc Gynéco,Paris,"2.3570033,48.8972825",rapper,"Doc Gynéco, real name, Bruno Beausir, is a French hip hop artist of Guadeloupean origin. His music is typically characterized as a ragga/rap style, that has found its fan base in France.",5/10/74,null
Gradur,Roubaix,"3.1986945,50.6700138",rapper,"Wanani Gradi Mariadi (born 1990) better known as Gradur is a French rapper of Congolese origin originating from Roubaix, Nord-Pas-de-Calais.",11/28/90,null
Morsay,Paris,"2.3346822, 48.8902463",rapper,"Mohamed Mehadji know has Morsay, (born 19/08 1980). Is a french rapper know for is internet video.",8/19/72,null
Aelpéacha,Joinville-le-Pont,"2.4698424,48.8207209",rapper,"Nicolas Alpha Malbranche know has Aelpéacha, (born 12 June 1979) is a french producer, rapper, from Paris, know for is G-funk style.",6/12/79,null
MC Solaar,Villeneuve-Saint-Georges,"2.4485109, 48.7511682",rapper,"Claude M'Barali better known by his stage name MC Solaar (born March 5, 1969) is a French hip hop and rap artist with Senegalese and Chadian origins.",3/5/69,null
Lacrim,Chevilly-Larue,"2.3640913, 48.7650549",rapper,Karim Zenoud better known by his stage name Lacrim at times stylized as LaCrim is a French rapper from Algerian origins.,4/19/85,null
Salif,Boulogne-Billancourt,"2.2334914, 48.8289706",rapper,"Salif Fofana better known by the mononym Salif (born Salif Wonka in 1982), is a French rapper based in Boulogne-Billancourt of Malian and Guadeloupean origin.",null,null
Busta Flex,Épinay-sur-Seine,"2.295370, 48.957826",rapper,"Valéry François know has Busta Flex, (born 30 september 1977) is a french rapper from Val-d'Oise.",9/30/77,null
Zoxea,Boulogne Billancourt,"2.2367953, 48.8305624",rapper,"Jean-Jacques Kodjo, a.k.a. Zoxea, was born on November 11, 1974 in Sèvres, Hauts-de-Seine.",11/11/74,null
Kool Shen,Saint-Denis,"2.3702192, 48.9426404",rapper,"Bruno Lopes, alias Kool Shen, (born 9 February 1966) is a French rapper and producer, with Portuguese origins. He is also a break dancer and a graffiti artist. He is a co-founder of Suprême NTM and one of the major figures of French rap. ",2/9/66,null
Joeystarr,Saint-Denis,"2.369358,48.9455024",rapper,"Didier Morville, better known by his stage name Joeystarr (stylized JoeyStarr is a French rapper of Martinican origin, from Saint-Denis. ",10/27/67,null
Niro,Blois,"1.328056,47.593889",rapper,"Noureddine Bahri (born 1987 in Orléans, Loiret), better known as Niro, is a French rapper of Moroccan descent who grew up in Blois.",7/9/87,null
Oxmo Puccino,Paris,"2.3873334, 48.8823502",rapper,Oxmo Puccino (born Abdoulaye Diarra; 3 August 1974) is a hip hop musician born in Mali.,8/3/74,null
LIM,Boulogne-Billancourt,"2.2322435,48.829336",rapper,"Salim Lakhdari (born in July, 1979 in Boulogne-Billancourt (Paris), France), more commonly known as LIM, is a French rapper and producer of Kabyle Algerian origin.",null,null
Kaaris,Sevran,"2.5132507,48.9350964",rapper,Kaaris (born Okou Armand Gnakouri on 30 January 1980) is a French rapper from Sevran.,1/30/80,null
Juicy P,Grigny,"2.372164, 48.653538",rapper,Juicy P is a french Rapper from Grigny.,null,null
Seth Gueko,Saint-Ouen-l'Aumône,"2.1167, 49.05",rapper,"Nicolas Salvadori (born in Saint-Ouen-l'Aumône, Val-d'Oise, France on 27 October 1980), better known by his stage name Seth Gueko, is a French rapper.",10/27/80,null
Alkpote,Évry-Courcouronnes,"2.4298817,48.6338203",rapper,Atef Kahlaoui know has Alkpote is a French Rapper from Evry.,2/3/81,null
Ali,Issy-les-Moulineaux,"2.27, 48.823889",rapper,"Ali, originally Daddy Ali (born in 1975 at Issy-les-Moulineaux, France) is a French rapper of Moroccan origin.",null,null
Booba,Boulogne-Billancourt,"2.240947, 48.835198",rapper,"Elie Yaffa (born December 9, 1976), better known under his stage name Booba is a French rapper from Boulogne Billancourt. ",12/9/76,null
Birdman,New Orleans,"-90.104417, 29.959346",rapper,"Bryan Williams (born February 15, 1969), known by his stage names Birdman or Baby, is an American rapper, record producer, and entrepreneur. He is the co-founder and public face of Cash Money Records.",2/15/69,null
Playa Fly,Memphis,"-90.0433016, 35.1072904",rapper,"Playa Fly (born Ibn Young on September 2, 1977) is an American rapper from Memphis, Tennessee. Fly was a member of the Triple 6 Mafia (now known as Three 6 Mafia, then known as Lil' Fly), but he stopped collaborating in 1995 due to monetary disputes and philosophical differences after recording one album under the group's guidance.",9/2/77,null
Lil Wayne,New Orleans,"-90.117544, 29.967252",rapper,"Dwayne Michael Carter Jr. (born September 27, 1982), known professionally as Lil Wayne, is an American hip hop recording artist and author from New Orleans, Louisiana.",9/27/82,null
Three 6 Mafia,Memphis,"-89.971068, 35.117365",group,"Three 6 Mafia, originally known as Triple 6 Mafia, is an American hip hop group originally from Memphis, Tennessee. The group was formed by DJ Paul, Lord Infamous, Juicy J, Koopsta Knicca and Gangsta Boo.",null,null
DJ Quik,Los Angeles,"-118.2450207, 33.88356",rapper,"David Marvin Blake (born January 18, 1970), better known by his stage name DJ Quik, is an American hip hop recording artist, DJ and record producer.",1/18/70,null
N.W.A,Los Angeles,"-118.2314667,33.89033",group,"N.W.A (an abbreviation for Niggaz Wit Attitudes) was an American hip hop group from Compton, California.",null,null
Arabian Prince,Los Angeles,"-118.3636301, 33.9540723",rapper,"Kim Renard Nazel (born June 17, 1965), better known by the stage name Arabian Prince, is an American singer-songwriter, rapper and producer, former member of the N.W.A. group.",6/17/65,null
Ice Cube,Los Angeles,"-118.3135802, 33.9367515",rapper,"O'Shea Jackson Sr. (born June 15, 1969), known professionally as Ice Cube, is an American rapper, songwriter, record producer, actor and filmmaker. ",6/15/69,null
Dj Yella,Los Angeles,"-118.2333217, 33.896006",producer / dj,Dj Yella is an american Producer from Los Angeles. He was a member of N.W.A.,12/11/67,null
MC Ren,Los Angeles,"-118.1992392, 33.8851198",rapper,"Lorenzo Jerald Patterson (born June 14, 1969), better known by his stage name MC Ren, is an American rapper from Compton, California.",6/16/69,null
Eazy-E,Los Angeles,"-118.200819, 33.881899",rapper,"Eric Lynn Wright (September 7, 1964 – March 26, 1995), better known by his stage name Eazy-E, was an American rapper who performed solo and in the hip hop group N.W.A. Wright is affectionately called ""The Godfather of Gangsta Rap"". He was born to Richard and Kathie Wright in Compton, California.",9/7/64,3/26/95
Dr. Dre,Los Angeles,"-118.25683, 33.893247",producer / dj,"Andre Romelle Young (born February 18, 1965), better known by his stage name Dr. Dre, is an American rapper, record producer, and entrepreneur.",2/18/65,null
Nas,Queens,"-73.945333, 40.755194",rapper,"Nasir bin Olu Dara Jones (born September 14, 1973), better known by his stage name Nas /ˈnɑːz/, is an American hip hop recording artist, record producer, actor and entrepreneur.",9/14/73,null
Jay Z,Brooklyn,"-73.952231, 40.699153",rapper,"Shawn Corey Carter (born December 4, 1969), best known as his stage name Jay Z, is an American rapper, businessman, and investor. Formerly known as Jay-Z, he is one of the best-selling musicians of all time, having sold more than 100 million records.",12/4/69,null
Redman,Newark,"-74.213194, 40.735640",rapper,"Reginald ""Reggie"" Noble (born April 17, 1970), better known by his stage name Redman, is an American rapper, DJ, record producer, and actor. He rose to fame in the early 1990s as an artist on the Def Jam label.",4/17/70,null
Method Man,Staten Island,"-74.0806547, 40.6141896",rapper,"Clifford Smith (born March 2, 1971), better known by his stage name Method Man, is an American rapper, record producer, and actor. He is perhaps best known as a member of the East Coast hip hop collective Wu-Tang Clan.",3/2/71,null
The Notorious B.I.G.,Brooklyn,"-73.964148, 40.683529",rapper,"Christopher George Latore Wallace (May 21, 1972 – March 9, 1997), better known by his stage names The Notorious B.I.G., Biggie, or Biggie Smalls, was an American rapper.",5/21/72,3/9/97
2Pac,New York,"-73.940047, 40.797956",rapper,"Tupac Amaru Shakur born Lesane Parish Crooks; June 16, 1971 – September 13, 1996), also known by his stage names 2Pac and Makaveli, was an African-American rapper,.",6/16/71,9/13/96
Lil Bibby,Chicago,"-87.5700404, 41.7078783",rapper,"Brandon George Dickinson (born July 18, 1994), better known by his stage name Lil Bibby, is an American hip hop recording artist from Chicago, Illinois.",8/18/94,null
